id_no,first_name,last_name,program_code,year,gender
2021-1165,Cyno,General,BSMetE,4,Male
2024-1166,Candace,Aaru,BSCE,1,Female
2022-1167,Nilou,Zubayr,BA-ENG,2,Female
2023-1168,Nahida,Lesser,BSPsych,1,Female
2021-1169,Layla,Rtawahist,BSPhys,3,Female
2024-1170,Faruzan,Haravatat,BSME,1,Female
2022-1171,Alhaitham,Haravatat,BSIS,4,Male
2023-1172,Kaveh,Kshahrewar,BSCE,2,Male
2021-1173,Dehya,Flame,BSECE,4,Female
2024-1174,Mika,Schmidt,BSN,1,Male
2022-1175,Baizhu,Bubu,BSChem,4,Male
2023-1176,Kaveh,Architect,BSME,2,Male
2021-1177,Freminet,Diver,BSCpE,3,Male
2024-1178,Lyney,Magician,BA-HIS,1,Male
2022-1179,Lynette,Assistant,BSN,2,Female
2023-1180,Neuvillette,Judge,BSCerE,3,Male
2021-1181,Wriothesley,Warden,BSMetE,4,Male
2024-1182,Furina,Director,BA-ENG,1,Female
2022-1183,Charlotte,Reporter,BA-FIL,3,Female
2023-1184,Chevreuse,Captain,BSCpE,2,Female
2021-1185,Navia,Spina,BSChE,4,Female
2022-1187,Xianyun,Cloud,BSPhys,4,Female
2021-1189,Sigewinne,Nurse,BSN,3,Female
2024-1190,Clorinde,Duelist,BSECE,1,Female
2022-1191,Sethos,Desert,BSStat,2,Male
2023-1192,Emilie,Perfumer,BSChem,1,Female
2021-1193,Cloud,Strife,BSME,4,Male
2022-1195,Aerith,Gainsborough,BSBio-Gen,3,Female
2023-1196,Barret,Wallace,BSMetE,2,Male
2021-1197,Sephiroth,One,BSPhys,4,Male
2024-1198,Yuffie,Kisaragi,BSIS,1,Female
2022-1199,Vincent,Valentine,BSBio-Zoo,4,Male
2023-1200,Cid,Highwind,BSCpE,2,Male
2024-1201,Arthur,Morgan,BSPsych,3,Male
2024-1202,Sadie,Adler,BA-ENG,2,Female
2024-1203,John,Marston,BSMetE,4,Male
2023-1204,Abigail,Marston,BSN,1,Female
2023-1205,Charles,Smith,BSBio-Gen,2,Male
2023-1206,Bill,Williamson,BSME,3,Male
2022-1208,Hosea,Matthews,BA-HIS,4,Male
2022-1209,Lenny,Summers,BSMath,1,Male
2021-1210,Micah,Bell,BSChE,3,Male
2021-1211,Javier,Escuella,BSA,2,Male
2025-1213,Mary-Beth,Gaskill,BA-FIL,1,Female
2025-1214,Karen,Jones,BSIS,1,Female
2024-1215,Simon,Pearson,BSCerE,2,Male
2024-1216,Leopold,Strauss,BSPhys,4,Male
2024-1217,Sean,MacGuire,BSECE,1,Male
2023-1218,Molly,O'Shea,BSN,2,Female
2023-1220,Uncle,One,BSCS,4,Male
2022-1221,Joel,Miller,BSCE,4,Male
2022-1222,Ellie,Williams,BSBio-Gen,1,Female
2022-1223,Tess,Servopoulos,BSN,4,Female
2021-1224,Tommy,Miller,BSCpE,3,Male
2021-1225,Marlene,Firefly,BSStat,4,Female
2021-1226,Bill,Lincoln,BSME,3,Male
2024-1227,Henry,Hart,BSChE,2,Male
2024-1228,Sam,Hart,BSMath,1,Male
2024-1229,David,Preacher,BA-FIL,4,Male
2023-1230,Riley,Abel,BA-ENG,1,Female
2023-1231,Abby,Anderson,BSPsych,2,Female
2023-1232,Lev,Seraphite,BSPhys,1,Non-Binary
2022-1233,Yara,Seraphite,BSBio-Gen,2,Female
2022-1234,Owen,Moore,BSBA-BE,3,Male
2022-1235,Mel,Beomni,BSN,3,Female
2021-1236,Manny,Alvarez,BSCpE,2,Male
2021-1237,Nora,Harris,BSChem,4,Female
2021-1238,Jesse,Burrell,BSIS,3,Male
2024-1239,Dina,Palestine,BSA,2,Female
2024-1240,Maria,Miller,BSStat,4,Female
2024-1241,Isaac,Dixon,BSCerE,4,Male
2023-1242,Serana,Volkihar,BA-HIS,4,Female
2023-1243,Isran,Dawnguard,BSPhys,4,Male
2023-1244,Cicero,Keeper,BSA,1,Male
2022-1245,Lydia,Housecarl,BSMetE,2,Female
2022-1246,Paarthurnax,Voice,BSMath,4,Male
2022-1247,Delphine,Blade,BSECE,3,Female
2021-1249,Aela,Huntress,BSBio-Zoo,2,Female
2021-1250,Vilkas,Companion,BSME,3,Male
2024-1301,Eren,Yeager,BSMetE,4,Male
2024-1302,Mikasa,Ackerman,BSN,4,Female
2024-1303,Armin,Arlert,BSStat,4,Male
2023-1304,Levi,Ackerman,BSME,4,Male
2023-1305,Hange,Zoe,BSBio-Gen,4,Non-Binary
2022-1307,Genos,Demon,BSCpE,2,Male
2021-1308,Tatsumaki,Tornado,BSPhys,3,Female
2021-1309,Fubuki,Blizzard,BSPsych,2,Female
2025-1310,Tanjiro,Kamado,BSDM,1,Male
2024-1314,Kyojuro,Rengoku,BSPhys,4,Male
2024-1315,Shinobu,Kocho,BSChem,3,Female
2023-1316,Izuku,Midoriya,BSPsych,1,Male
2023-1317,Katsuki,Bakugo,BSChE,1,Male
2023-1318,Shoto,Todoroki,BSMetE,1,Male
2022-1319,Ochaco,Uraraka,BSCE,2,Female
2022-1320,Tenya,Iida,BSME,2,Male
2021-1321,Spike,Spiegel,BSPhys,4,Male
2021-1322,Faye,Valentine,BSStat,4,Female
2021-1323,Jet,Black,BSME,4,Male
2024-1324,Edward,Elric,BSMetE,3,Male
2024-1325,Alphonse,Elric,BSCerE,3,Male
2023-1326,Winry,Rockbell,BSME,3,Female
2023-1327,Roy,Mustang,BSChE,4,Male
2022-1328,Riza,Hawkeye,BSN,4,Female
2022-1329,Monkey,Luffy,BA-FIL,1,Male
2021-1331,Nami,Navigator,BSMath,3,Female
2024-1332,Vinsmoke,Sanji,BSN,3,Male
2024-1333,Nico,Robin,BA-HIS,4,Female
2023-1334,TonyTony,Chopper,BSBio-Gen,2,Male
2023-1335,Franky,Cyborg,BSCpE,4,Male
2022-1336,Brook,Skeleton,BSA,4,Male
2022-1337,Jinbe,Knight,BSCE,4,Male
2021-1339,Vegeta,Prince,BSPhys,4,Male
2024-1340,Bulma,Briefs,BSCpE,4,Female
2024-1341,Light,Yagami,BSIS,2,Male
2023-1342,L,Lawliet,BSStat,3,Male
2023-1343,Misa,Amane,BA-ENG,2,Female
2022-1344,Ryuk,Shinigami,BSBio-Gen,4,Male
2022-1345,Naruto,Uzumaki,BA-FIL,1,Male
2021-1346,Sasuke,Uchiha,BSECE,1,Male
2021-1347,Sakura,Haruno,BSBio-Gen,1,Female
2024-1348,Kakashi,Hatake,BSN,4,Male
2023-1350,Itachi,Uchiha,BSPsych,4,Male
